JournalId,PaperId,Rank,Doi,DocType,Genre,IsParatext,PaperTitle,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,CitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,DocSubTypes,OaStatus,BestUrl,BestFreeUrl,BestFreeVersion,DoiLower,CreatedDate,UpdatedDate
162791694,3198874073,20911,10.1093/MSPECIES/SEAB010,Journal,journal-article,f,peromyscus fraterculus rodentia cricetidae,Peromyscus fraterculus (Rodentia: Cricetidae),NA,2021,2021-09-09,2021-09-09,Oxford Academic,NA,NA,53,1008,112,124,76,0,0,Mammalian Species,NA,NA,NA,closed,https://doi.org/10.1093/mspecies/seab010,NA,NA,10.1093/mspecies/seab010,NA,2021-11-03 23:47:31.356428
162791694,1842701357,21429,10.1093/MSPECIES/SEV002,Journal,journal-article,f,potamochoerus porcus artiodactyla suidae,Potamochoerus porcus (Artiodactyla: Suidae),NA,2015,2015-12-13,2015-07-03,American Society of Mammalogists,NA,NA,47,919,15,31,132,10,11,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sev002,https://academic.oup.com/mspecies/article-pdf/47/919/15/8129525/sev002.pdf,publishedVersion,10.1093/mspecies/sev002,NA,2021-11-03 23:47:31.356428
162791694,2080591448,21249,10.1644/879.1,Journal,journal-article,f,geomys bursarius rodentia geomyidae,Geomys bursarius (Rodentia: Geomyidae),NA,2011,2011-07-28,NA,"The American Society of Mammalogists BioOne 21 Dupont Circle, Ste. 800 Washington, DC 20036",NA,NA,43,879,104,117,143,9,9,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/879.1,https://academic.oup.com/mspecies/article-pdf/43/879/104/8269145/43-879-104.pdf,publishedVersion,10.1644/879.1,NA,2021-11-03 23:47:31.356428
162791694,2317901756,27285,10.2307/3503867,Journal,journal-article,f,reithrodontomys brevirostris and reithrodontomys paradoxus,Reithrodontomys brevirostris and Reithrodontomys paradoxus,NA,1982,1982-11-23,NA,NA,NA,NA,NA,192,1,NA,0,0,0,Mammalian Species,NA,NA,NA,closed,https://doi.org/10.2307/3503867,NA,NA,10.2307/3503867,NA,2021-11-03 23:47:31.356428
162791694,2346827674,21013,10.1093/MSPECIES/SEW002,Journal,journal-article,f,priodontes maximus cingulata chlamyphoridae,Priodontes maximus (Cingulata: Chlamyphoridae),NA,2016,2016-05-05,2016-05-05,Oxford University Press,NA,NA,48,932,21,34,106,16,18,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sew002,https://academic.oup.com/mspecies/article-pdf/48/932/21/7971194/sew002.pdf,publishedVersion,10.1093/mspecies/sew002,NA,2021-11-03 23:47:31.356428
162791694,2748101657,21172,10.1093/MSPECIES/SEX009,Journal,journal-article,f,sciurus aureogaster rodentia sciuridae,Sciurus aureogaster (Rodentia: Sciuridae),NA,2017,2017-08-17,2017-08-17,American Society of Mammalogists,NA,NA,49,951,81,92,70,1,1,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sex009,https://academic.oup.com/mspecies/article-pdf/49/951/81/19522465/sex009.pdf,publishedVersion,10.1093/mspecies/sex009,NA,2021-11-03 23:47:31.356428
162791694,2748588325,21344,10.1093/MSPECIES/SEX010,Journal,journal-article,f,sciurus sanborni rodentia sciuridae,Sciurus sanborni (Rodentia: Sciuridae),NA,2017,2017-08-19,2017-08-19,Oxford Academic,NA,NA,49,952,93,96,13,0,0,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sex010,https://academic.oup.com/mspecies/article-pdf/49/952/93/19532736/sex010.pdf,publishedVersion,10.1093/mspecies/sex010,NA,2021-11-03 23:47:31.356428
162791694,2961162602,22801,10.1093/MSPECIES/SEZ003,Journal,journal-article,f,histiotus magellanicus chiroptera vespertilionidae,Histiotus magellanicus (Chiroptera: Vespertilionidae),NA,2019,2019-07-17,2019-07-17,Oxford Academic,NA,NA,51,973,18,25,35,2,2,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sez003,https://academic.oup.com/mspecies/article-pdf/51/973/18/29113811/sez003.pdf,publishedVersion,10.1093/mspecies/sez003,NA,2021-11-03 23:47:31.356428
162791694,2053146911,22093,10.1644/829.1,Journal,journal-article,f,bradypus torquatus pilosa bradypodidae,Bradypus torquatus (Pilosa: Bradypodidae),NA,2009,2009-03-31,NA,American Society of Mammalogists,NA,NA,829,829,1,5,21,11,12,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/829.1,https://academic.oup.com/mspecies/article-pdf/doi/10.1644/829.1/24461047/829.pdf,publishedVersion,10.1644/829.1,NA,2021-11-03 23:47:31.356428
162791694,2126242270,21956,10.1644/903.1,Journal,journal-article,f,sciurillus pusillus rodentia sciuridae,Sciurillus pusillus (Rodentia: Sciuridae),NA,2013,2013-12-13,NA,American Society of Mammologists,NA,NA,45,903,75,79,27,6,6,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/903.1,https://academic.oup.com/mspecies/article-pdf/45/903/75/8269195/45-903-75.pdf,publishedVersion,10.1644/903.1,NA,2021-11-03 23:47:31.356428
